Country Code,Year,Battle_Related_Deaths,Corruption_Control,Drinking Water Service,Fertility_Rate,Infant_Mortality_Rate,Life Expectancy Female,Life Expectancy Male,Life Expectancy Total,Measles_Immunization,Official Aid Recieved,Political_Stability_Score,Rural_Population,Sanitation Service,Undernourishment
ABW,2000,,,,,,75.651,70.149,72.939,,,,,,
ABW,2001,,,,,,75.758,70.251,73.044,,,,,,
ABW,2002,,,,1.8,,75.825,70.364,73.135,,,,54.028,,
ABW,2003,,,,1.808,,75.898,70.488,73.236,,,,54.394,,
ABW,2004,,1.165965319,,1.819,,75.872,70.487,73.223,,,0.993218184,54.76,,
ABW,2005,,1.269663095,,1.844,,75.992,70.741,73.415,,,1.376415968,55.125,,
ABW,2006,,1.25131321,,1.862,,76.109,70.791,73.498,,,1.303460598,55.489,,
ABW,2007,,1.26187098,,1.881,,76.252,70.93,73.642,,,1.286568522,55.853,,
ABW,2008,,1.27677536,,1.889,,76.404,71.058,73.783,,,1.316395998,56.217,,
ABW,2009,,1.109147549,,1.875,,76.64,71.201,73.974,,,1.121554255,56.579,,
ABW,2010,,1.121295571,,1.855,,77.57,70.997,74.297,,,1.100847363,56.941,,
ABW,2011,,1.10294652,,1.858,,77.709,71.378,74.578,,,1.285737753,57.06,,
ABW,2012,,1.095235944,,1.907,,77.899,71.685,74.841,,,1.263881564,57.043,,
ABW,2013,,1.119600654,,1.944,,77.961,72.043,75.072,,,1.312226295,57.01,,
ABW,2014,,1.014001012,,1.944,,78.124,72.245,75.261,,,1.164567828,56.959,,
ABW,2015,,1.248301148,,1.899,,78.139,72.496,75.405,,,1.21023953,56.892,,
ABW,2016,,1.232693315,,1.848,,78.203,72.691,75.54,,,1.260758519,56.808,,
ABW,2017,,1.23961401,,1.785,,78.25,72.802,75.62,,,1.313845992,56.707,,
ABW,2018,,1.207401395,,1.732,,78.708,72.88,75.88,,,1.337509871,56.589,,
ABW,2019,,1.174430847,,1.701,,78.814,73.047,76.019,,,1.335807323,56.454,,
ABW,2020,,1.198827386,,1.662,,78.333,72.344,75.406,,,1.37159121,56.303,,
ABW,2021,,0.800938904,,1.631,,76.417,70.794,73.655,,,1.431726694,56.134,,
ABW,2022,,0.756486595,,1.615,,78.691,73.537,76.226,,,1.483079791,55.948,,
AFE,2000,,,,,,54.11123095,50.99441903,52.55734186,,7995110002.0,,,18.84638284,
AFE,2001,,,,,,54.38783642,51.35162672,52.87553605,,8510100046.0,,,19.04876427,
AFE,2002,,,,,,54.74157154,51.65702055,53.20674433,,11407200153.0,,,19.26425081,
AFE,2003,,,,,,55.18495105,52.15615445,53.67830477,,16522039884.0,,,19.48820708,
AFE,2004,,,,,,55.74201912,52.6281871,54.19292787,,16249479991.0,,,19.70811141,
AFE,2005,,,,,,56.35770501,53.23594008,54.80768071,,16411430004.0,,,20.00349701,
AFE,2006,,,,,,57.25363666,54.10512091,55.69351526,,18452829946.0,,,20.29954904,
AFE,2007,,,,,,58.12812841,54.81462799,56.48435318,,20486030153.0,,,20.56750284,
AFE,2008,,,,,,59.0068225,55.44901825,57.24010632,,23679979837.0,,,20.87770315,
AFE,2009,,,,,,59.91784419,56.24764333,58.09552714,,25143129997.0,,,21.16427909,
AFE,2010,,,,,,60.71896131,56.90910867,58.82727921,,24977449818.0,,,21.44569153,
AFE,2011,,,,,,61.16304697,57.20972242,59.20000403,,28533789930.0,,,21.7664982,
AFE,2012,,,,,,62.31022149,58.16477868,60.24951236,,26226879871.0,,,22.08019761,
AFE,2013,,,,,,63.06664001,58.70902472,60.89573975,,29207570093.0,,,22.39825564,
AFE,2014,,,,,,63.54347677,58.95400146,61.25143602,,25900260071.0,,,22.71007476,
AFE,2015,,,,,,64.06347842,59.3596262,61.71303052,,25497109968.0,,,23.03328862,
AFE,2016,,,,,,64.61003943,59.73222026,62.16798132,,25069150086.0,,,23.2863321,
AFE,2017,,,,,,65.08255331,60.106818,62.5912751,,27881609782.0,,,23.51413934,
AFE,2018,,,,,,65.87276156,60.79639438,63.33069136,,27525489811.0,,,23.775639,
AFE,2019,,,,,,66.43443582,61.2892641,63.85726128,,30202910114.0,,,24.01973315,
AFE,2020,,,,,,66.53667158,61.04809282,63.766484,,,,,24.28843303,
AFE,2021,,,,,,65.6529681,60.35187382,62.97999919,,,,,24.51150533,
AFE,2022,,,,,,67.23112982,61.76570677,64.48701955,,,,,24.67990381,
AFG,2000,,,11.09332631,,,56.555,53.463,55.005,,136009994.5,,,,
AFG,2001,,,11.10522115,,,57.089,53.941,55.511,,410359985.4,,,,
AFG,2002,890.0,-1.251137018,12.00773317,7.32,103.8,57.442,54.986,56.225,35.0,1223290039.0,-2.035033703,77.739,,43.7
AFG,2003,687.0,-1.344179749,12.90992153,7.174,100.6,58.472,55.849,57.171,39.0,1538229980.0,-2.198372364,77.647,,38.6
AFG,2004,715.0,-1.35064733,13.81868375,7.018,97.2,59.073,56.519,57.81,48.0,2268528320.0,-2.295682192,77.5,,35.9
AFG,2005,1595.0,-1.447252393,14.73385294,6.858,93.7,59.588,56.88,58.247,50.0,2815098389.0,-2.06750989,77.297,,34.2
AFG,2006,4750.0,-1.446292281,15.64842658,6.686,90.1,60.123,56.974,58.553,53.0,2895828369.0,-2.219134569,77.093,,31.6
AFG,2007,6911.0,-1.61325109,16.56252312,6.508,86.7,60.804,57.122,58.956,55.0,4982612305.0,-2.41337347,76.887,,28.3
AFG,2008,5552.0,-1.672095537,17.47601039,6.392,83.3,61.428,57.984,59.708,59.0,4811211426.0,-2.69136095,76.68,,25.1
AFG,2009,6341.0,-1.552298784,18.38888434,6.295,80.0,61.791,58.681,60.248,60.0,6113124023.0,-2.71142149,76.472,,21.6
AFG,2010,6864.0,-1.645391107,19.30113922,6.195,76.9,62.283,59.097,60.702,62.0,6072399902.0,-2.579151869,76.263,,19.4
AFG,2011,7403.0,-1.600470781,20.21288423,6.094,74.0,62.852,59.625,61.25,64.0,6745740234.0,-2.502059698,76.052,,18.3
AFG,2012,7721.0,-1.430372834,21.12399634,5.985,71.3,63.344,60.099,61.735,59.0,6666770508.0,-2.418561459,75.84,,19.5
AFG,2013,8056.0,-1.445960641,22.03446972,5.879,68.7,63.814,60.534,62.188,57.0,5152541016.0,-2.519349098,75.627,,19.4
AFG,2014,12284.0,-1.364934087,22.94430071,5.77,66.4,64.009,60.495,62.26,60.0,4942970215.0,-2.411068439,75.413,,19.3
AFG,2015,17278.0,-1.354713082,23.85358955,5.652,64.2,64.178,60.363,62.27,62.0,4274226074.0,-2.56262517,75.197,,20.0
AFG,2016,17985.0,-1.540227771,24.76222018,5.542,62.3,64.64,60.661,62.646,64.0,4069414307.0,-2.662156105,74.98,,20.5
